2025-11-09 01:09:09.071 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-11-09 01:09:09.078 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-11-09 01:09:09.080 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-11-09 01:09:09.080 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.48]
2025-11-09 01:09:09.104 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-11-09 01:09:09.104 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 1057 ms
2025-11-09 01:09:09.682 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver-Exposing 1 endpoint beneath base path '/actuator'
2025-11-09 01:09:09.712 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-11-09 01:09:09.721 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-11-09 01:09:09.734 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 1.868 seconds (process running for 2.503)
